Total Household Income,Total Food Expenditure,Household Head Age,Alcoholic Beverages Expenditure,Household Head Highest Grade Completed,Education Expenditure,Total Number of Family members,Total number of family members employed
216000,135436,43,4680,Second Year College,2260,5,2
394000,130409,53,0,Second Year College,46690,4,3
382138,104321,65,0,Business and Administration Programs,0,4,1
121390,70980,66,0,Third Year College,430,3,3
767060,308387,69,1008,Business and Administration Programs,73500,4,0
191750,73683,34,0,Elementary Graduate,360,5,2
180648,123691,47,1872,High School Graduate,575,5,1
723898,236293,64,0,Health Programs,0,5,4
588958,190172,55,0,"Agriculture, Forestry, and Fishery Programs",3900,3,1
262933,121285,78,1332,High School Graduate,5599,3,3
129370,56830,74,0,Grade 3,4000,2,0
111906,36552,71,0,First Year College,0,1,0
254245,63276,90,0,Third Year College,0,2,0
455944,146900,64,200,Engineering and Engineering trades Programs,46150,4,0
706518,252411,59,0,High School Graduate,0,5,0
331142,201416,48,0,Second Year High School,60520,5,0
160588,89032,68,0,Elementary Graduate,17450,3,0
94331,65632,16,0,Second Year High School,830,5,0
141140,84336,72,582,Grade 3,0,5,2
110525,111158,49,0,Second Year High School,740,6,2
127702,60258,29,120,High School Graduate,680,5,2
910955,106731,52,0,Engineering and Engineering Trades Programs,0,3,0
123015,77210,44,240,Elementary Graduate,330,6,2
280384,97101,64,720,High School Graduate,0,3,1
68722,38824,60,0,High School Graduate,0,2,1
175490,68450,62,0,Second Year High School,0,3,2
130900,87111,35,240,Second Year High School,570,6,1
207640,83868,66,520,Second Year High School,53000,4,1
220970,94487,62,2000,High School Graduate,16750,5,1
68635,55447,27,350,High School Graduate,0,4,1
154820,84155,43,2990,Third Year High School,325,4,3
129530,89479,43,1040,Elementary Graduate,17350,7,2
154433,60366,26,1610,High School Graduate,0,2,1
102030,52576,31,0,Grade 1,440,4,2
186927,88738,33,540,Second Year College,500,6,2
172663,102456,40,780,High School Graduate,500,5,1
108815,74942,46,0,Grade 4,0,2,2
158162,63682,59,120,Elementary Graduate,0,4,3
156359,73071,37,100,Elementary Graduate,752,6,1
219598,76998,58,0,Grade 3,0,3,1
127906,88405,28,900,Second Year High School,840,4,1
254991,89435,49,720,Second Year High School,1065,9,3
205666,102659,35,100,High School Graduate,1720,7,3
119873,93779,51,240,Grade 5,0,2,2
374367,108152,45,0,Engineering and Engineering trades Programs,695,7,2
107553,62856,29,0,Elementary Graduate,1480,6,1
100448,51137,32,0,High School Graduate,770,4,1
39652,25779,75,0,Second Year High School,0,1,0
195569,87593,43,1040,Grade 5,50,4,3
142468,48383,68,1440,Elementary Graduate,0,4,3
136486,55968,50,0,Second Year College,0,2,0
166283,84179,33,1260,High School Graduate,1020,3,2
130445,53257,33,1340,Elementary Graduate,100,3,2
268530,135699,44,120,High School Graduate,50200,5,2
174441,100414,48,0,Engineering and Engineering trades Programs,2785,4,0
96735,41958,81,0,Grade 2,0,2,0
250927,102811,56,0,High School Graduate,930,7,0
186204,94104,50,140,Elementary Graduate,8500,4,2
160010,78852,46,1356,High School Graduate,10700,2,0
372845,161346,74,4940,Grade 5,260,7,4
170910,101743,37,0,First Year College,1020,6,1
266145,84486,62,760,Grade 4,0,4,4
486628,274609,54,212,Engineering and Engineering trades Programs,800,6,3
96972,63236,50,0,Elementary Graduate,360,4,3
144143,67368,54,760,Elementary Graduate,0,4,3
113917,54512,37,0,Engineering and Engineering trades Programs,11830,2,2
142020,61257,63,1308,Second Year College,15450,2,0
736072,232464,54,0,Second Year College,96620,6,1
84645,55636,53,0,Grade 1,0,3,2
117966,34174,84,0,Grade 4,0,2,0
254652,82883,51,2665,Second Year High School,320,10,3
351246,97956,49,7490,High School Graduate,700,6,2
182414,70361,50,260,First Year High School,1022,8,2
231900,93244,48,9243,High School Graduate,0,4,2
48554,28065,82,0,Grade 5,0,2,0
222844,60560,48,2925,Second Year High School,25060,4,0
89229,47354,64,100,Grade 4,0,5,1
151091,73516,46,0,High School Graduate,10995,4,1
237636,69608,83,2080,First Year High School,20970,7,1
80393,35186,60,0,High School Graduate,0,2,1
59805,37211,57,3640,Elementary Graduate,0,3,1
149860,49809,47,360,Second Year High School,0,5,2
194078,56433,55,0,High School Graduate,0,2,0
258050,76741,53,480,High School Graduate,15000,3,0
134155,31375,56,0,Grade 3,0,2,1
216288,78466,57,1110,Business and Administration Programs,4560,4,2
208747,63238,66,0,Elementary Graduate,0,3,3
235484,74366,45,4010,High School Graduate,865,5,1
253167,63625,43,0,High School Graduate,430,4,2
211616,65334,46,0,High School Graduate,465,6,0
188442,76309,32,130,Transport Services Programs,800,5,0
110042,55119,44,520,Second Year High School,510,10,4
58043,46361,38,500,Elementary Graduate,310,5,2
190447,83278,44,660,High School Graduate,18880,4,1
141026,83918,33,916,First Year College,2094,4,0
217127,72977,68,120,Elementary Graduate,0,3,1
307290,84846,41,355,First Year Post Secondary,1750,3,0
157946,58658,60,0,Grade 3,0,3,0
165092,108734,63,0,Elementary Graduate,6100,3,1
106476,65599,37,0,High School Graduate,5570,2,0
183983,95220,37,396,High School Graduate,1725,4,0
137688,98710,42,120,Grade 4,6240,6,2
117772,48731,43,150,Grade 4,2520,4,2
385875,90615,60,480,Grade 5,0,4,3
823739,114608,46,0,High School Graduate,0,4,2
153598,49745,55,1600,Elementary Graduate,0,3,2
206307,141528,38,1360,Grade 5,10100,5,0
197712,94618,52,1140,High School Graduate,9700,6,1
538123,100606,50,0,No Grade Completed,0,4,3
310579,148494,51,1155,High School Graduate,1010,6,2
323209,149913,67,8360,High School Graduate,5350,4,0
153668,40456,80,0,High School Graduate,0,2,0
364830,102015,76,0,Elementary Graduate,0,4,3
544324,138322,37,2808,Computing/Information Technology Programs,5120,7,4
238999,117615,34,650,High School Graduate,14210,5,2
209560,88618,67,5282,High School Graduate,0,2,0
182772,80021,50,570,High School Graduate,18640,4,2
480000,111115,52,0,High School Graduate,0,2,0
419830,116171,28,0,High School Graduate,0,3,0
312168,62787,52,900,Third Year High School,0,2,1
314914,148681,58,920,Third Year High School,260,8,1
1150620,130174,53,9100,Engineering and Engineering Trades Programs,0,1,1
125496,74132,43,822,Elementary Graduate,11400,3,1
110196,56098,35,0,Business and Administration Programs,800,4,1
69110,40368,69,676,Third Year High School,0,2,1
106520,85058,33,790,Second Year High School,450,6,2
232166,113110,36,0,High School Graduate,1630,5,0
281816,85849,30,0,First Year College,11190,4,0
246495,80124,45,1864,Elementary Graduate,590,5,2
343106,85409,40,3400,Engineering and Engineering Trades Programs,1500,4,1
543651,215234,49,5090,Business and Administration Programs,105400,5,0
127541,64158,42,0,High School Graduate,1760,4,1
770992,116592,53,2340,First Year High School,14800,5,4
277320,83466,38,3260,Second Year High School,950,6,4
53011,29265,56,0,Grade 5,0,1,1
726658,86135,69,216,Third Year High School,180,3,3
718325,196192,61,0,Business and Administration Programs,2770,9,2
240628,102253,44,0,Business and Administration Programs,74369,3,1
732718,162330,57,4784,Business and Administration Programs,1150,6,1
110261,71615,41,0,Elementary Graduate,3790,5,1
85141,45823,59,0,Grade 5,0,3,2
118202,55807,40,949,High School Graduate,710,5,1
102516,53774,44,4134,Third Year High School,940,3,1
125173,74897,29,1651,High School Graduate,720,5,1
299016,121355,44,4154,"Agriculture, Forestry, and Fishery Programs",11085,5,2
65890,44956,57,2244,Business and Administration Programs,0,2,0
316708,90857,61,48,Engineering and Engineering trades Programs,1700,4,2
232960,133834,35,0,High School Graduate,7735,10,5
131191,25937,84,0,Elementary Graduate,0,1,0
181241,73642,36,2535,High School Graduate,1160,6,2
175279,72110,70,2668,Third Year College,0,4,2
510575,174503,53,0,High School Graduate,8000,5,0
63720,24501,86,0,Grade 3,0,1,0
131713,50046,71,2652,Grade 4,0,4,2
216458,116826,39,2528,Second Year High School,1475,7,3
105606,77155,41,1560,High School Graduate,970,5,2
162684,107416,45,520,Second Year High School,365,9,3
158705,112842,45,0,High School Graduate,1640,7,2
273250,89383,60,520,Health Programs,0,1,0
280498,161672,64,0,Elementary Graduate,3720,7,0
237040,93203,71,0,Business and Administration Programs,935,5,0
157766,90562,52,0,Elementary Graduate,0,7,6
171200,101823,62,750,Engineering and Engineering trades Programs,6050,2,2
159290,91223,43,520,Grade 4,2420,6,3
227180,76179,31,1440,High School Graduate,1320,2,2
565198,182097,52,2964,High School Graduate,26750,4,3
513915,216468,58,1320,Business and Administration Programs,14200,8,4
135669,77017,71,1160,Elementary Graduate,100,5,2
164238,83522,35,1240,Personal Services Programs,725,2,1
128169,72688,83,900,Elementary Graduate,7850,3,1
81644,47834,60,0,Elementary Graduate,1900,3,1
167480,55097,35,540,High School Graduate,1350,4,1
97389,60269,54,1280,Grade 4,270,6,2
47922,30816,69,240,Grade 1,0,2,0
53569,32507,55,0,High School Graduate,0,2,1
358014,173905,52,2340,High School Graduate,17230,6,0
140290,107202,74,0,Grade 5,20,7,1
154770,101050,57,600,Elementary Graduate,800,4,2
181000,68156,46,0,High School Graduate,320,4,1
91430,49504,74,0,First Year Post Secondary,0,1,0
181060,89466,55,0,High School Graduate,700,3,1
140186,54951,68,0,Engineering and Engineering trades Programs,0,2,0
218595,50164,46,660,Third Year High School,0,1,1
239665,127860,54,2280,First Year College,970,7,2
351410,256108,52,1020,Business and Administration Programs,22170,10,0
267716,89747,71,0,High School Graduate,0,2,0
93480,44329,46,216,Engineering and Engineering trades Programs,0,2,1
632350,246892,69,3520,Second Year High School,15860,8,3
257720,159304,65,2288,Grade 3,1093,7,0
84607,79480,53,1560,Elementary Graduate,240,4,2
392457,218068,50,540,High School Graduate,1120,6,2
382393,40674,58,4870,High School Graduate,30000,1,0
544995,299209,53,8920,First Year College,0,4,3
143742,66295,36,0,High School Graduate,220,5,2
181389,96804,50,1250,High School Graduate,1490,5,3
77903,32536,42,2080,Grade 4,0,1,1
729880,140864,63,0,High School Graduate,0,5,3
110372,90704,36,2740,Second Year High School,650,4,2
355819,127206,49,1920,High School Graduate,0,3,0
973572,166133,65,728,High School Graduate,830,3,0
255792,162787,67,4320,Elementary Graduate,1100,5,1
211254,103343,50,120,High School Graduate,20000,3,2
199289,105824,43,7215,High School Graduate,6220,4,3
208054,136020,42,1040,Engineering and Engineering trades Programs,1060,6,1
270904,126500,61,0,Elementary Graduate,800,7,4
219942,103080,62,0,Grade 4,150,9,3
139165,82589,58,0,Grade 4,0,3,3
157413,97979,38,0,Second Year High School,7940,4,2
358292,55170,51,330,High School Graduate,90,5,1
353504,127823,55,1090,Engineering and Engineering trades Programs,40360,3,1
139164,78881,66,720,High School Graduate,0,2,1
112760,53707,69,0,High School Graduate,0,2,0
272282,125098,37,0,High School Graduate,2100,2,2
419809,159062,60,660,High School Graduate,0,5,5
144262,91630,63,0,Elementary Graduate,920,3,0
546782,200672,31,0,High School Graduate,3310,3,0
326800,161412,56,0,Elementary Graduate,9000,5,2
187242,127810,31,0,High School Graduate,1145,4,2
778760,249315,23,0,Third Year College,95700,7,1
131261,113027,37,120,Elementary Graduate,1050,6,0
107818,61698,59,520,Elementary Graduate,905,6,1
208868,116674,27,0,High School Graduate,0,4,2
206828,72429,58,520,Elementary Graduate,0,2,0
535722,132927,37,0,Elementary Graduate,6530,7,1
323110,166281,45,11310,Grade 1,11760,7,5
323640,114077,53,7000,Elementary Graduate,0,4,4
190649,91501,74,0,Grade 2,18000,4,1
227660,126087,50,1560,Elementary Graduate,0,4,3
643670,229252,88,1296,High School Graduate,0,4,0
181140,117294,76,40,Grade 3,0,2,0
297551,79564,49,0,Business and Administration Programs,0,1,0
248690,86994,73,0,Elementary Graduate,0,7,2
145918,90292,54,1800,Second Year High School,2060,4,1
238110,100322,44,672,High School Graduate,1150,4,0
55465,29283,77,0,Grade 3,0,1,0
488161,146047,41,1040,Engineering and Engineering Trades Programs,2250,4,1
167415,61469,78,1040,Elementary Graduate,0,2,1
142678,55167,32,1040,Third Year High School,0,3,2
310616,141043,55,1448,First Year High School,70,7,4
3037649,192043,66,0,Business and Administration Programs,0,3,2
511903,140639,63,0,Health Programs,0,3,0
853192,275985,39,1210,First Year College,56400,8,1
262354,115979,39,1120,First Year High School,37350,5,2
196522,158202,49,640,Grade 5,0,8,3
371800,74147,52,0,Business and Administration Programs,0,1,0
86794,64335,69,0,Elementary Graduate,0,2,1
364826,152776,62,224,Second Year College,0,4,1
306928,130980,52,0,High School Graduate,3320,6,1
207914,101369,58,2934,Elementary Graduate,940,9,2
523459,235238,45,1980,High School Graduate,2390,6,3
272727,120949,85,4730,Grade 2,2400,6,2
557159,147703,51,0,Second Year High School,7000,4,3
166732,38638,81,0,Third Year High School,0,1,0
98167,52101,65,0,High School Graduate,0,2,0
143000,91824,35,1264,Grade 3,500,4,1
59226,31343,29,120,High School Graduate,0,3,2
414043,135074,22,1200,First Year College,0,4,1
312298,158916,55,0,High School Graduate,0,5,2
237044,100297,35,660,High School Graduate,3280,6,2
265747,111520,58,0,Elementary Graduate,0,4,1
3220231,262425,45,0,Social and Behavioral Science Programs,0,4,3
272779,130872,52,100,Second Year Post Secondary,23040,7,2
351310,174432,45,3520,Third Year High School,48720,4,2
85394,47190,60,210,Third Year College,0,1,0
336980,117773,62,760,Second Year High School,0,5,2
478257,110129,69,1224,Health Programs,15100,6,1
373673,114484,72,510,High School Graduate,14800,7,4
410750,110428,71,0,Teacher Training and Education Sciences Programs,2035,2,0
388754,187043,40,15736,Business and Administration Programs,54900,4,1
243172,57043,48,245,High School Graduate,3790,3,0
838860,231354,58,4150,Business and Administration Programs,840,6,3
348597,164989,68,4360,No Grade Completed,2905,9,3
221279,117968,36,0,Elementary Graduate,2200,5,2
112320,71294,27,956,Third Year High School,0,5,1
59579,30629,53,0,High School Graduate,0,2,1
133122,69744,60,780,High School Graduate,0,2,0
649113,185346,54,0,Transport Services Programs,35300,5,1
154300,72671,39,728,High School Graduate,9880,5,1
165467,72022,28,1218,High School Graduate,1100,2,1
326813,155960,60,0,Arts Programs,12080,3,0
235571,100797,60,1374,High School Graduate,3650,3,2
275971,141096,51,667,High School Graduate,330,9,4
456232,150866,71,804,Teacher Training and Education Sciences Programs,12000,4,1
282434,124307,68,0,High School Graduate,15450,6,2
658143,146119,71,0,Post Baccalaureate,28800,2,0
446822,82970,51,0,Teacher Training and Education Sciences Programs,2280,3,1
362259,141916,37,322,High School Graduate,2700,5,1
623100,228630,50,0,Social and Behavioral Science Programs,95800,3,1
171203,68774,63,360,Elementary Graduate,0,1,1
107940,49671,44,2382,High School Graduate,0,2,0
423488,135503,34,2280,High School Graduate,3710,7,2
550986,157877,64,0,High School Graduate,30790,7,1
283052,93709,46,0,Third Year High School,45810,5,0
327943,107875,63,540,High School Graduate,1760,7,3
277177,179675,64,0,Second Year High School,3000,12,3
333872,155164,60,6160,Elementary Graduate,20650,7,2
304003,194605,33,0,High School Graduate,1020,4,1
390062,95307,44,1038,High School Graduate,1660,5,1
326623,156682,49,2880,Engineering and Engineering trades Programs,16700,3,1
309670,203574,49,2730,Social and Behavioral Science Programs,21988,5,1
393930,125285,79,6240,Post Baccalaureate,0,1,0
119650,68570,64,0,High School Graduate,209,7,1
146942,119025,49,0,Second Year College,2820,4,0
388920,114603,44,1560,Elementary Graduate,620,7,1
147456,107085,45,0,High School Graduate,10770,5,1
185351,70459,64,0,Elementary Graduate,0,6,2
209500,80859,60,0,First Year College,0,3,2
538144,91060,94,0,Grade 2,0,5,3
417085,118769,67,1150,Teacher Training and Education Sciences Programs,11850,2,0
195196,72350,80,0,Elementary Graduate,0,2,0
353700,133577,56,0,Teacher Training and Education Sciences Programs,0,2,1
461660,85166,83,0,Teacher Training and Education Sciences Programs,0,4,2
381394,122509,61,1290,Computing/Information Technology Programs,0,3,1
251266,93452,58,0,High School Graduate,19290,4,2
564350,88275,54,0,Business and Administration Programs,0,3,0
342634,143395,55,0,High School Graduate,0,2,0
